Species	T6SS	Count
Pantoea_ananatis_VY148	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mycobacterium_intracellulare_MOTT-64	TssL	1
Wolbachia_endosymbiont_of_Aedes_aegypti_strain_GV_2018_1	TssE	1
Mycobacterium_tuberculosis_PanR0403	TssL	1
Nostoc_sp._NIES-3756	TssE	1
Polyangium]_brachysporum_strain_DSM_7029	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Colwellia_sp._NB097-1_strain_NB097-1	TssA,TssL	2
Pseudomonas_syringae_UMAF0158	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Neisseria_elongata_strain_M15910	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Bordetella_flabilis_strain_AU10664	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_cichorii_JBC1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Klebsiella_sp._RHBSTW-00484	TssA,TssB,TssD,TssJ,TssK	5
Shewanella_sp._KX20019	TssC	1
Hafnia_alvei_FB1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20130348	TssA,TssD,TssE,TssG,TssM	5
Exiguobacterium_sp._Helios	TssL	1
Yersinia_pestis_Z176003	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_sp._SAT1	TssE,TssM	2
Mycobacterium_tuberculosis_HKBS1	TssL	1
Pseudomonas_brassicacearum_subsp._brassicacearum_NFM421	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20093950	TssA,TssD,TssE,TssG,TssM	5
Parageobacillus_genomosp._1_strain_NUB3621_strain_9A5	TssC,TssE,TssL	3
Brevibacillus_laterosporus_DSM_25	TssE	1
Ornithinimicrobium_sp._AMA3305	TssD	1
Enterobacteriaceae_bacterium_bta3-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Brevundimonas_sp._GRTSA-9	TssE	1
Roseomonas_sp._S08	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Planctomycetes_bacterium_CA12	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Citrobacter_amalonaticus_FDAARGOS_1489	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Arthrobacter_sp._IHBB_11108	TssK	1
Burkholderia_pseudomallei_PB08298010	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Halomonas_aestuarii_Hb3	TssB,TssE	2
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20090698	TssA,TssD,TssE,TssG,TssM	5
Leptospira_kmetyi_strain_LS_001/16	TssB	1
Klebsiella_sp._A52	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Peptoclostridium_difficile_ATCC_9689_=_DSM_1296	TssC	1
Pseudomonas_sp._S34	TssA,TssE	2
Burkholderia_multivorans_ATCC_17616	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_O178:H19_strain_2012C-4431	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mesorhizobium_amorphae_CCNWGS0123	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Halomonas_campisalis_strain_SS10-MC5	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Microcystis_sp._MC19	TssB	1
Pseudomonas_fragi_strain_A13BB	TssA,TssB,TssE	3
Campylobacter_jejuni_32488	TssB,TssE	2
Deefgea_sp._D17	TssE	1
Treponema_succinifaciens_nC27_bin.114.fa	TssB	1
Jiangella_alkaliphila_strain_DSM_45079	TssL	1
Nocardioides_daphniae_strain_JCM_16608	TssA,TssB,TssL	3
Clostridium_botulinum_A_str._ATCC_3502	TssB,TssE	2
Rhizobium_sp._WYJ-E13	TssE	1
Rhizobium_sp._NXC24	TssA,TssE	2
Chelatococcus_sp._CO-6	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Streptomyces_lividans_TK23	TssE,TssL	2
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1917	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120356	TssA,TssD,TssE,TssG,TssM	5
Mycobacterium_tuberculosis_PanR0404	TssL	1
Ochrobactrum_intermedium_strain_ZJ499	TssE	1
Cellvibrio_sp._PSBB023_strain_PSBB023	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Streptomyces_venezuelae	TssE	1
Streptomyces_sp._GBA_94-10	TssE,TssG,TssL	3
Pseudomonas_cerasi_strain_PL963	TssA,TssD	2
Acinetobacter_sp._Tol_5	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Saccharothrix_espanaensis_DSM_44229	TssE	1
Citrobacter_sp._FDAARGOS_156	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Methanosarcina_sp._WWM596	TssB,TssE	2
Mycobacterium_tuberculosis_KZN_1435	TssL	1
Acetobacter_pasteurianus_IFO_3283-22	TssM	1
Streptomyces_xiamenensis_strain_MCCC_1A01550	TssE	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100325	TssA,TssD,TssE,TssG,TssM	5
Acinetobacter_sp._LoGeW2-3	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Escherichia_coli_O111:H-_str._11128	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_sp._Sge12_strain_Sge12	TssE	1
Paracoccus_sp._MC1862	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aquimarina_sp._AD1	TssC,TssE,TssF,TssG,TssK	5
Lysobacter_sp._K5869	TssE,TssL	2
Halobacteriaceae_archaeon_AArc-S	TssE	1
Pasteurellaceae_bacterium_RH1A	TssE	1
Klebsiella_sp._LTGPAF-6F	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_O169:H41_strain_2014EL-1345-2	TssA,TssB,TssD,TssE,TssG,TssL,TssM	7
Limnobacter_sp._SAORIC-580	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Acutalibacter_muris_strain_KB18	TssL	1
Fusobacterium_hwasookii_ChDC_F300	TssE	1
Salmonella_enterica_subsp._enterica_serovar_Virchow_strain_AUSMDU00010533	TssD,TssE	2
Burkholderia_pseudomallei_MSHR520	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Corynebacterium_simulans_strain_PES1	TssL	1
Rhodoferax_saidenbachensis_strain_DSM_22694	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL	9
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20093430	TssA,TssD,TssE,TssG,TssM	5
Escherichia_coli_O83:H1_str._NRG_857C	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Vibrio_sp._HDW18	TssD,TssE	2
Pseudomonas_sp._S35	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Burkholderia_pseudomallei_NCTC_13178	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Micromonospora_sagamiensis_strain_JCM_3310	TssE,TssF,TssL	3
Thiocapsa_sp._strain_M50B4	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Erwinia_amylovora_ATCC_49946	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Dermatophilus_congolensis_strain_NCTC13039	TssG	1
Halorientalis_sp._IM1011_strain_IM1011	TssE	1
Methylomonas_koyamae_strain_LM6	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20095309	TssA,TssD,TssE,TssG,TssM	5
Spirosoma_sp._CJU-R4	TssC,TssD,TssE,TssG	4
Spirosoma_sp._KUDC1026	TssB,TssE	2
Friedmanniella_sagamiharensis_strain_DSM_21743	TssD	1
Citrobacter_portucalensis_BY9F36	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mycobacterium_smegmatis_MKD8	TssL	1
Halomonas_sp._AM6	TssB	1
Streptomyces_lividans_TK24	TssE,TssL	2
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1918	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mucilaginibacter_sp._21P	TssB,TssC,TssE,TssF,TssG	5
Lactiplantibacillus_pentosus_KZ0310	TssL	1
Clavibacter_insidiosus_strain_ATCC_10253	TssE	1
Providencia_sp._1701091	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Candidatus_Nitrotoga_sp._AM1P	TssE	1
Escherichia_coli_K-12_GM4792	TssD,TssE,TssL	3
Chromatiaceae_bacterium_strain_CTD079	TssE	1
Clostridium_botulinum_Ba4_str._657	TssB,TssE	2
Vibrio_chagasii_strain_ECSMB14107	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
halophilic_archaeon_True-ADL	TssE	1
Streptomyces_sp._MG62	TssE	1
Mycobacterium_tuberculosis_PanR0405	TssL	1
Candidatus_Hamiltonella_defensa_5AT_(Acyrthosiphon_pisum)	TssE	1
Campylobacter_jejuni_subsp._jejuni_00-2538	TssE	1
Paenibacillus_peoriae_ZBSF16	TssL	1
Mannheimia_sp._16CN0041	TssE	1
Variovorax_sp._PAMC_28711	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Desulfovibrio_fairfieldensis_strain_CCUG_45958	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Vibrio_neptunius_strain_KCTC_12702	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Borreze_strain_Colony528	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Paenibacillus_thiaminolyticus_strain_Mbale	TssE	1
Streptomyces_olivaceus_strain_SCSIO_T05	TssE	1
Serratia_marcescens_SMB2099_strain_SMB2099	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Staphylococcus_aureus_subsp._aureus_str._Newman	TssE	1
Clostridium_botulinum_F_str._Langeland	TssB,TssE	2
Shewanella_sp._FJAT-53749	TssD,TssE,TssL,TssM	4
Alicyclobacillus_acidoterrestris_DSM_3922	TssE	1
Desulfobacterium_autotrophicum_HRM2	TssE,TssK	2
Salmonella_enterica_subsp._enterica_serovar_Nitra_strain_S-1687	TssA,TssD,TssE,TssG,TssM	5
Pseudomonas_sp._LG1E9	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Devosia_sp._S02	TssE	1
Vibrio_cholerae_O1_biovar_El_Tor_Inaba	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Halomonas_sp._R57-5	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Burkholderia_diffusa_strain_RF2-non-BP9	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Streptomyces_sp._endophyte_N2	TssE	1
Cyclobacterium_marinum_DSM_745	TssE	1
Kribbella_qitaiheensis_strain_SPB151	TssE	1
Klebsiella_oxytoca_C-21-18	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mycolicibacterium_celeriflavum_strain_JCM_18439	TssL	1
Burkholderia_pseudomallei_NCTC_13179	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudomonas_sp._SORT22	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Moritella_viscosa	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Chondromyces_crocatus_strain_Cm_c5	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Gemmata_obscuriglobus_strain_DSM_5831	TssE,TssL	2
Pseudomonas_sp._AN-B15	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Kosakonia_sp._MUSA4	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094350	TssA,TssD,TssE,TssG,TssM	5
Erythrobacter_litoralis_strain_DSM_8509	TssE	1
Burkholderia_glumae_AU6208	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Bartonella_bovis_91-4	TssE	1
Planctomyces_sp._SH-PL14	TssA,TssE,TssL	3
Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Acinetobacter_baumannii_AB07	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Micromonospora_sp._WMMA2032	TssE	1
Salmonella_enterica_subsp._enterica_serovar_Montevideo_str._USDA-ARS-USMARC-1919	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Xanthomonas_campestris_pv._campestris_str._CN03	TssA,TssE	2
Xanthomonas_axonopodis_pv._citrumelo_F1	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Mikawasima_strain_RSE13	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Brevundimonas_sp._PAMC22021	TssG	1
Chlamydia_psittaci_BL-84	TssC	1
Psychroflexus_sp._ALD_RP9	TssG,TssL	2
Mycoplasma_haemocanis_str._Illinois	TssA	1
Chitinophaga_sp._H33E-04	TssB,TssC,TssD,TssE,TssF,TssG,TssK	7
Mycobacterium_tuberculosis_H37RvCO	TssL	1
Ferribacterium_limneticum_128	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Citrobacter_sp._RHBSTW-00678	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL	10
Hyphomonas_sp._strain_ih12	TssE	1
Bradyrhizobium_sp._I71	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Runella_slithyformis_DSM_19594	TssC,TssE,TssF,TssG,TssJ,TssK,TssL	7
Massilia_sp._NR_4-1	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Rouxiella_sp._ERMR1:05	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudodesulfovibrio_profundus_strain_500-1	TssE	1
Pseudomonas_denitrificans_(nomen_rejiciendum)_strain_BG1	TssA,TssE	2
Mycobacterium_xenopi_strain_JCM_15661T	TssG	1
Erwinia_billingiae_Eb661	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20090419	TssD,TssE	2
Pantoea_dispersa_AHKW2b	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Lentisphaerae_bacterium_strain_zth2	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Xanthomonas_axonopodis_pv._commiphoreae_strain_LMG26789	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Mycobacterium_caprae_strain_Allgaeu	TssL	1
Escherichia_coli_O157:H7	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Shimwellia_blattae_DSM_4481_=_NBRC_105725	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Haemophilus_haemolyticus_2019-19	TssB	1
Enterobacter_cloacae_subsp._cloacae_ENHKU01	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Oscillibacter_sp._MM50	TssL	1
Burkholderia_xenovorans_strain_LB400	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Escherichia_coli_NA114	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Burkholderia_pseudomallei_A79A	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Actinoplanes_ianthinogenes_strain_NBRC_13996	TssE,TssG,TssL	3
Paenibacillus_mucilaginosus_3016	TssE	1
Pontivivens_sp._MT2928	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Rhizobium_pusense_strain_76	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	9
Klebsiella_sp._STW0522-44	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Burkholderia_gladioli_BSR3	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Amycolatopsis_sp._TNS106	TssE	1
Deinococcus_maricopensis_DSM_21211	TssE	1
Cupriavidus_pauculus_BHJ32i	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Paraglaciecola_sp._L1A13	TssE	1
Haloterrigena_sp._KZCA68	TssE	1
Corynebacterium_striatum_strain_215	TssL	1
Phycisphaerae_bacterium_ST-PulAB-D4_strain_ST-PulAB-D4	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Bacillus_cereus_biovar_anthracis_str._CI	TssE	1
Methylobacterium_sp._AMS5	TssE	1
Pseudomonas_sp._KUIN-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mesorhizobium_sp._DCY119	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Staphylococcus_aureus_ST228/16035	TssE	1
Enterobacter_chuandaensis_strain_Colony256	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Burkholderia_cepacia_BRDJ	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Sinorhizobium_fredii_CCBAU_83666	TssL	1
Paenibacillus_sp._BIHB4019	TssJ	1
Nodularia_spumigena_UHCC_0039	TssF	1
Paraglaciecola_sp._L3A3	TssM	1
Chryseobacterium_piperi_strain_ATCC_BAA-1782	TssB,TssC,TssE,TssF,TssG,TssK	6
Nocardia_terpenica_strain_AUSMDU00012715	TssL	1
Mycobacterium_immunogenum_strain_CCUG_47286	TssL	1
Mannheimia_haemolytica_USMARC_2286	TssE	1
Gammaproteobacteria_bacterium_soil36-7	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Lacinutrix_sp._5H-3-7-4	TssB,TssC,TssE,TssF	4
Mycobacterium_tuberculosis_PanR0407	TssL	1
Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382	TssE	1
Amycolatopsis_mediterranei_S699	TssE,TssL	2
Anabaenopsis_elenkinii_CCIBt3563	TssK,TssM	2
Candidatus_Aminicenantes_bacterium_bin112	TssE	1
Bacillus_anthracis_str._A16	TssE	1
Escherichia_sp._SCLE84	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Flavobacterium_sp._M31R6	TssB,TssE	2
Bradyrhizobium_sp._WBAH23	TssC,TssE	2
Clostridium_botulinum_CDC_1436	TssB	1
Clostridium_botulinum_CDC_297	TssB	1
Bacillus_cereus_03BB87	TssE	1
Bacillus_thuringiensis_serovar_alesti_strain_BGSC_4C1	TssE	1
Agarivorans_albus_strain_JCM_21469	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Shigella_flexneri_2002017	TssA,TssE,TssF,TssG,TssL	5
Aphanizomenon_flos-aquae_DEX188	TssE	1
Yersinia_pestis_subsp._pestis_bv._Medievalis_strain_SCPM-O-B-6530	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Xanthomonas_sp._SI	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Kosmotoga_pacifica_strain_SLHLJ1	TssB	1
Ruminiclostridium_thermocellum_DSM_2360_strain_LQRI	TssC	1
Bordetella_avium_strain_14-4061	TssA,TssB,TssD,TssE,TssF,TssG,TssK,TssL	8
Burkholderia_pseudomallei_MSHR5855	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Mycobacterium_ulcerans_subsp._shinshuense_strain_ATCC_33728	TssB	1
Mycoplasma_maculosum_strain_NCTC10168	TssM	1
Rhizobium_sp._N541	TssB,TssD,TssE,TssF,TssG,TssK,TssL,TssM	8
Catellatospora_sp._IY07-71	TssJ	1
Hartmannibacter_diazotrophicus_strain_type_strain:_E19_strain_E19T	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssK,TssL,TssM	10
Escherichia_coli_O145:H28_str._RM13514	TssD,TssE,TssF,TssG,TssL	5
Blautia_sp._LZLJ-3	TssL	1
Parvibaculum_lavamentivorans_DS-1	TssE	1
Streptomyces_sp._SYP-A7193	TssE	1
Enterococcus_faecalis_D32	TssE	1
Vibrio_sp._sp1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Pseudoalteromonas_sp._CF6-2	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Citrobacter_werkmanii_FDAARGOS_1524	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094352	TssA,TssD,TssE,TssG,TssM	5
Enterococcus_gallinarum_EG81	TssE	1
Streptococcus_pneumoniae_SPN034156	TssE	1
Flammeovirga_kamogawensis_strain_YS10	TssE	1
Synechococcus_sp._CBW1002	TssL	1
Mycobacterium_tuberculosis_RGTB423	TssL	1
Bacillus_anthracis_str._A0248	TssE	1
Ureaplasma_urealyticum_serovar_10_str._ATCC_33699	TssD	1
Pseudomonas_sp._SWI36	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Brevibacterium]_flavum_strain_ATCC_15168	TssA,TssE,TssL	3
Burkholderia_thailandensis_E254	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Staphylococcus_lugdunensis_N920143	TssA,TssE	2
Citrobacter_sp._RHB35-C17	TssD,TssJ,TssK,TssL	4
Streptococcus_pneumoniae_AP200	TssE	1
Polaribacter_sp._BM10_strain_BM10	TssB	1
Enterobacter_cloacae_complex_'Hoffmann_cluster_IV'_strain_DSM_16690	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Rhodococcus_biphenylivorans_strain_B403	TssE	1
Lachnospiraceae_bacterium_GAM79	TssL	1
Pseudomonas_syringae_pv._syringae_SM	TssA,TssB,TssC,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	11
Nitrosococcus_watsonii_C-113	TssE	1
Pseudomonas_sp._NP-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Acetobacter_pasteurianus_IFO_3283-26	TssM	1
Paenibacillus_beijingensis_strain_DSM_24997	TssE	1
Halovivax_ruber_XH-70	TssE	1
Leptothrix_cholodnii_SP-6	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Aeromonas_hydrophila_J-1	TssA,TssB,TssD,TssE,TssF,TssG,TssJ,TssK,TssL,TssM	10
Lactobacillus_salivarius_JCM1046	TssC	1
