Species	flagellar_proteins	No_of_proteins
Acetobacter pasteurianus IFO 3283-32 	flgL,fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus strain Ab3 	fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	10
Acetobacter pasteurianus subsp. ascendens strain LMG 1590 	fliA,fliI,fliK,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter pasteurianus subsp. pasteurianus strain SRCM101342 	fliA,fliI,fliK,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	11
Acetobacter persici strain TMW2.1084 	flgA,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	35
Acetobacter pomorum strain BDGP5 	fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	10
Acetobacter senegalensis strain 108B 	fliA,fliI,fliK,fliY,flrA,flrC,motA,motX,motY,rpoD	10
Acetobacter sp. JWB 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Acetobacter sp. KACC 21233 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	34
Acetobacter sp. SLV-7 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	9
Acetobacter tropicalis strain BDGP1 	fliA,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD	10
Acetohalobium arabaticum DSM 5501 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,rpoD,rpoN	41
Acholeplasma axanthum strain NCTC10138 	fliA,fliI,fliY,flrA,flrC,motX,rpoD	7
Acholeplasma brassicae strain 0502 	fliA,fliI,fliY,flrA,flrC,motX,rpoD	7
Acholeplasma hippikon strain NCTC10172 	fliA,fliI,fliY,flrA,flrC,motX,rpoD	7
Acholeplasma laidlawii PG-8A 	fliA,fliI,fliY,flrA,flrC,rpoD	6
Acholeplasma laidlawii strain NCTC10116 	fliA,fliI,fliY,flrA,flrC,rpoD	6
Acholeplasma oculi 	fliA,fliI,fliY,flrA,flrC,motX,rpoD	7
Acholeplasma palmae J233 	fliI,fliY,flrA,flrC,motX,rpoD	6
Achromobacter deleyi SMAs-55 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Achromobacter denitrificans strain FDAARGOS_786 strain Not applicable 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter insolitus strain DSM 23807 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter mucicolens IA 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Achromobacter pestifer strain FDAARGOS_790 strain Not applicable 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Achromobacter spanius strain DSM 23806 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter sp. AONIH1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter sp. B7 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter sp. ES-001 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter sp. MFA1 R4 strain MFA1 R4 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	47
Achromobacter xylosoxidans A8 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter xylosoxidans C54 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgM,flgN,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Achromobacter xylosoxidans NBRC 15126 = ATCC 27061 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter xylosoxidans NH44784-1996 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgO,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Achromobacter xylosoxidans PartM-Axylosoxidans-RM8376 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,flhC,flhD,flhE,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	48
Acidaminococcus fermentans DSM 20731 	flgA,flgD,flgJ,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	15
Acidaminococcus intestini RyC-MR95 	flgJ,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acidaminococcus intestini strain MGYG-HGUT-01440 	fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	10
Acidianus ambivalens strain LEI 10 	fliI,flrA,flrC	3
Acidianus brierleyi strain DSM 1651 	fliI,flrA,flrC	3
Acidianus hospitalis W1 	fliI,flrA,flrC,motX	4
Acidianus manzaensis strain YN-25 	fliI,flrA,flrC,motX	4
Acidianus sulfidivorans JP7 	fliI,flrA,flrC,motX	4
Acidiferrobacter sp. SPIII_3 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acidihalobacter prosperus strain F5 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Acidilobus saccharovorans 345-15 	fliH,fliI,fliY,flrA,flrC	5
Acidilobus sp. 7A 	fliI,fliY,flrA,flrC	4
Acidimicrobiia bacterium bin686 	fliA,fliH,fliI,fliY,flrA,flrC,rpoD	7
Acidimicrobium ferrooxidans DSM 10331 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,rpoD	32
Acidiphilium cryptum JF-5 	flgC,flgD,flgE,flgI,flgJ,flgK,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	28
Acidiphilium multivorum AIU301 	flgB,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	32
Acidiphilium multivorum JZ-6 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliI,fliL,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	34
Acidipropionibacterium acidipropionici strain F3E8 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	9
Acidipropionibacterium jensenii strain FAM 19038 	flgA,fliA,fliH,fliI,fliY,flrA,flrC,rpoD	8
Acidipropionibacterium sp. JS278 	fliA,fliH,fliI,fliY,flrA,flrC,motY,rpoD	8
Acidisphaera sp. G45-3 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	39
Acidithiobacillus caldus SM-1 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	43
Acidithiobacillus caldus strain MTH-04 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	40
Acidithiobacillus ferridurans strain JCM 18981 	flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	12
Acidithiobacillus ferriphilus GT2 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	38
Acidithiobacillus ferrivorans strain PRJEB5721 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgT,flhA,flhB,flhC,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	40
Acidithiobacillus ferrooxidans ATCC 23270 	flgA,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acidithiobacillus ferrooxidans ATCC 53993 	flgA,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	13
Acidithiobacillus ferrooxidans BYM 	flgA,flgT,fliA,fliH,fliI,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	14
Acidithiobacillus sp. 'AMD consortium' 	flgT,fliA,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD,rpoN	11
Acidithiobacillus thiooxidans ATCC 19377 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgN,flgT,flhA,flhB,flhC,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	44
Acidobacteria bacterium bin48 	flgD,flgO,flgT,fliA,fliG,fliI,fliY,flrA,flrC,motA,motX,motY,rpoD	13
Acidobacteriaceae bacterium SBC82 	flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliM,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	36
Acidobacterium capsulatum ATCC 51196 	flgA,flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	39
Acidobacterium sp. 4Y35 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	39
Acidobacterium sp. MP5ACTX9 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgT,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliM,fliN,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	39
Acidothermus cellulolyticus 11B 	flgA,flgB,flgC,flgD,flgE,flgK,flgL,flgN,flhA,flhB,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliY,flrA,flrC,motA,motB,rpoD	34
Acidovorax avenae subsp. avenae ATCC 19860 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Acidovorax avenae subsp. avenae strain AA78_5 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motD,motX,motY,rpoD,rpoN	47
Acidovorax cattleyae strain CAT98_1 	flgE,flgG,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	36
Acidovorax citrulli AAC00-1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	45
Acidovorax citrulli HPP21-3-3B 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Acidovorax] ebreus LS1 	flgA,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Acidovorax ebreus TPSY 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Acidovorax monticola strain KACC 19171 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Acidovorax radicis 79 	flgA,flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Acidovorax sp. 1608163 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Acidovorax sp. 16-35-5 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Acidovorax sp. HDW3 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motY,rpoD,rpoN	45
Acidovorax sp. JMULE5 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Acidovorax sp. JS42 	flgA,flgB,flgC,flgD,flgE,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
Acidovorax sp. KKS102 	flgA,flgB,flgC,flgD,flgE,flgF,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	45
Acidovorax sp. NA2 strain NA2 	flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	47
Acidovorax sp. RAC01 	flgB,flgI,flgJ,flgK,flgL,flgO,flgT,flhC,flhD,fliA,fliC,fliE,fliH,fliI,fliN,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	24
Acidovorax sp. T1 strain T1 	flgA,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgK,flgL,flgM,flgO,flgT,flhA,flhB,flhC,flhD,fliA,fliC,fliD,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliL,fliM,fliN,fliO,fliP,fliQ,fliR,fliS,fliT,fliY,flrA,flrC,motA,motB,motX,motY,rpoD,rpoN	46
